Year,Belugas,Humpbacks,HarborSeal,StellarSeaLion,SpottedSeal,FinWhale,Dall's Porpoise,Minke Whale
1995,55493,1407,72668,67100,,,83400,
1996,53390,1407,74266,80946,,,83400,
1998,53343,4399,79937,69903,,,83400,
1999,52856,4399,79937,69434,,,83400,
2000,52944,4399,79937,69434,,,83400,
2001,52944,4399,79937,65605,,,83400,
2003,63384,4399,79937,65803,,,83400,
2005,63355,4399,79937,83509,,5703,83400,
2006,63276,4399,180017,86873,,5703,83400,
2007,63300,4399,180017,87507,,5703,83400,
2008,64362,4399,180017,89452,,5700,83400,
2009,64362,8407,180017,91661,,5700,83400,
2010,64342,8407,180017,107645,,5700,83400,
2011,74596,8407,152592,107565,,5700,83400,
2012,74566,8407,152592,111195,,5700,83400,
2013,74563,8407,152592,116338,,,83400,
2014,65343,11210,152592,122422,460268,,83400,
2015,65343,11210,205090,116497,460268,,83400,
2016,65343,11210,205090,92621,460268,,83400,
2017,,,,94941,,,,
